user_id,boarding_id,label
U1,1.0,1
U1,2.0,0
U1,3.0,0
U1,4.0,0
U1,5.0,0
U1,6.0,0
U1,7.0,0
U1,8.0,0
U1,9.0,0
U1,10.0,0
U1,11.0,0
U1,12.0,0
U1,13.0,0
U1,14.0,0
U1,15.0,0
U1,16.0,0
U1,17.0,0
U1,18.0,0
U1,19.0,0
U1,20.0,0
U1,21.0,0
U1,22.0,0
U1,23.0,0
U1,24.0,0
U1,25.0,0
U1,26.0,0
U1,27.0,0
U1,28.0,0
U1,29.0,1
U1,30.0,0
U1,31.0,0
U1,32.0,0
U1,33.0,0
U1,34.0,0
U1,35.0,0
U1,36.0,0
U1,37.0,0
U1,38.0,0
U1,39.0,0
U1,40.0,0
U1,41.0,0
U1,42.0,0
U1,43.0,0
U1,44.0,0
U1,45.0,0
U1,46.0,0
U1,47.0,0
U1,48.0,0
U1,49.0,0
U1,50.0,1
U1,51.0,0
U1,52.0,0
U1,53.0,0
U1,54.0,0
U1,55.0,0
U1,56.0,0
U1,57.0,0
U1,58.0,0
U1,59.0,0
U1,60.0,0
U1,61.0,0
U1,62.0,0
U1,63.0,0
U1,64.0,0
U1,65.0,1
U1,66.0,0
U1,67.0,0
U1,68.0,0
U1,69.0,0
U1,70.0,0
U1,71.0,1
U1,72.0,0
U1,73.0,0
U1,74.0,0
U1,75.0,0
U1,76.0,0
U1,77.0,0
U1,78.0,0
U1,79.0,0
U1,80.0,0
U1,81.0,0
U1,82.0,1
U1,83.0,0
U1,84.0,0
U1,85.0,0
U1,86.0,0
U1,87.0,0
U1,88.0,0
U1,89.0,1
U1,90.0,0
U1,91.0,1
U1,92.0,0
U1,93.0,0
U1,94.0,0
U1,95.0,0
U1,96.0,0
U1,97.0,0
U1,98.0,0
U1,99.0,0
U1,100.0,0
U1,101.0,0
U1,102.0,0
U1,103.0,0
U1,104.0,0
U1,105.0,0
U1,106.0,0
U1,107.0,0
U1,108.0,0
U1,109.0,0
U1,110.0,1
U1,111.0,1
U1,112.0,0
U1,113.0,0
U1,114.0,0
U1,115.0,0
U1,116.0,0
U1,117.0,0
U1,118.0,0
U1,119.0,0
U1,120.0,0
U1,121.0,0
U1,122.0,0
U1,123.0,0
U1,124.0,0
U1,125.0,0
U1,126.0,1
U1,127.0,0
U1,128.0,1
U1,129.0,0
U1,130.0,0
U1,131.0,0
U1,132.0,0
U1,133.0,0
U1,134.0,1
U1,135.0,0
U1,136.0,0
U1,137.0,0
U1,138.0,0
U1,139.0,0
U1,140.0,0
U1,141.0,0
U1,142.0,0
U1,143.0,0
U1,144.0,0
U1,145.0,1
U1,146.0,0
U1,147.0,0
U1,148.0,0
U1,149.0,0
U1,150.0,0
U1,151.0,0
U1,152.0,0
U1,153.0,0
U1,154.0,0
U1,155.0,0
U1,156.0,0
U1,157.0,0
U1,158.0,0
U1,159.0,0
U1,160.0,0
U1,161.0,0
U1,162.0,0
U1,163.0,0
U1,164.0,0
U1,165.0,0
U1,166.0,0
U1,167.0,0
U1,168.0,0
U1,169.0,0
U1,170.0,0
U1,171.0,0
U1,172.0,0
U1,173.0,0
U1,174.0,0
U1,175.0,0
U1,176.0,0
U1,177.0,0
U1,178.0,0
U1,179.0,0
U1,180.0,0
U1,181.0,0
U1,182.0,0
U1,183.0,0
U1,184.0,0
U1,185.0,0
U1,186.0,0
U1,187.0,0
U1,188.0,0
U1,189.0,0
U1,190.0,0
U1,191.0,0
U1,192.0,0
U1,193.0,0
U1,194.0,0
U1,195.0,0
U1,196.0,0
U1,197.0,0
U1,198.0,0
U1,199.0,0
U1,200.0,0
U1,201.0,0
U1,202.0,0
U1,203.0,0
U1,204.0,0
U1,205.0,0
U1,206.0,0
U1,207.0,0
U1,208.0,0
U1,209.0,1
U1,210.0,0
U1,211.0,0
U1,212.0,0
U1,213.0,0
U1,214.0,0
U1,215.0,0
U1,216.0,0
U1,217.0,0
U1,218.0,0
U1,219.0,0
U1,220.0,0
U1,221.0,0
U1,222.0,0
U1,223.0,0
U1,224.0,0
U1,225.0,0
U1,226.0,0
U1,227.0,0
U1,228.0,0
U1,229.0,0
U1,230.0,0
U1,231.0,0
U1,232.0,0
U1,233.0,0
U1,234.0,0
U1,235.0,0
U1,236.0,0
U1,237.0,0
U1,238.0,0
U1,239.0,0
U1,240.0,0
U1,241.0,0
U1,242.0,0
U1,243.0,0
U1,244.0,1
U1,245.0,0
U1,246.0,0
U1,247.0,1
U1,248.0,0
U1,249.0,0
U1,250.0,0
U1,251.0,0
U1,252.0,0
U1,253.0,0
U1,254.0,0
U1,255.0,0
U1,256.0,0
U1,257.0,1
U1,258.0,0
U1,259.0,0
U1,260.0,0
U1,261.0,0
U1,262.0,0
U1,263.0,0
U1,264.0,0
U1,265.0,0
U1,266.0,0
U1,267.0,0
U1,268.0,0
U1,269.0,0
U1,270.0,0
U1,271.0,1
U1,272.0,0
U1,273.0,0
U1,274.0,0
U1,275.0,0
U1,276.0,0
U1,277.0,0
U1,278.0,0
U1,279.0,0
U1,280.0,0
U1,281.0,0
U1,282.0,0
U1,283.0,0
U1,284.0,0
U1,285.0,0
U1,286.0,0
U1,287.0,0
U1,288.0,0
U1,289.0,0
U1,290.0,0
U1,291.0,0
U1,292.0,0
U1,293.0,0
U1,294.0,0
U1,295.0,0
U1,296.0,0
U1,297.0,0
U1,298.0,0
U1,299.0,0
U1,300.0,0
U1,301.0,0
U1,302.0,0
U1,303.0,0
U1,304.0,0
U1,305.0,0
U1,306.0,0
U1,307.0,0
U1,308.0,0
U1,309.0,0
U1,310.0,0
U1,311.0,0
U1,312.0,0
U1,313.0,0
U1,314.0,0
U1,315.0,0
U1,316.0,0
U1,317.0,0
U1,318.0,0
U1,319.0,0
U1,320.0,1
U1,321.0,0
U1,322.0,0
U1,323.0,0
U1,324.0,0
U1,325.0,0
U1,326.0,1
U1,327.0,0
U1,328.0,0
U1,329.0,0
U1,330.0,0
U1,331.0,1
U1,332.0,0
U1,333.0,0
U1,334.0,0
U1,335.0,1
U1,336.0,0
U1,337.0,0
U1,338.0,0
U1,339.0,0
U1,340.0,1
U1,341.0,0
U1,342.0,0
U1,343.0,0
U1,344.0,1
U1,345.0,0
U1,346.0,0
U1,347.0,0
U1,348.0,0
U1,349.0,0
U1,350.0,0
U1,351.0,0
U1,352.0,0
U1,353.0,0
U1,354.0,0
U1,355.0,0
U1,356.0,0
U1,357.0,0
U1,358.0,0
U1,359.0,0
U1,360.0,0
U1,361.0,0
U1,362.0,0
U1,363.0,1
U1,364.0,0
U1,365.0,0
U1,366.0,0
